Brewery Type,brewery,address,website,latitude,longitude
micro,Black Hammer Brewing,544 Bryant St,http://www.blackhammerbrewing.com,37.780655,-122.3969947
regional,Fort Point Beer Company,644 Mason St,http://www.fortpointbeer.com,37.789461244898,-122.410227755102
large,Anchor Brewing Co,1705 Mariposa St,http://www.anchorbrewing.com,37.7630772,-122.4011065
brewpub,Woods CervecerÃ­a,3801 18th St,http://www.cerveceriasf.com,37.761163,-122.4285438
contract,TW Pitchers Brewing Co,1329 17th Ave,http://www.twpitchers.com,37.7630777142857,-122.475048571429
proprietor,Sufferfest Beer Company,1770 UNION STREET,http://www.sufferfestbeer.com,37.7980748571429,-122.428394714286
